neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,availability_365,price
Sydney,-33.8651525497574,151.191895887808,Private room,2,493,4.83,187,100
Manly,-33.8009290284908,151.261722194179,Entire home/apt,5,1,0.03,321,471
Sydney,-33.8804548565453,151.216540802216,Private room,2,300,3.63,316,109
Leichhardt,-33.8590716087546,151.172753231257,Entire home/apt,7,15,0.18,69,450
Woollahra,-33.889086930692,151.259403964228,Private room,1,42,0.45,140,62
North Sydney,-33.8344292810793,151.208874899349,Entire home/apt,2,63,0.64,321,159
Waverley,-33.8848206161377,151.282945231773,Entire home/apt,5,6,0.77,194,84
Sydney,-33.8799562875371,151.215528063075,Entire home/apt,5,53,0.54,1,130
Waverley,-33.8890866364913,151.274505808991,Entire home/apt,3,54,0.88,301,700
Waverley,-33.889632726393,151.283553115597,Entire home/apt,2,17,0.24,0,226
Waverley,-33.891846057412,151.273084327189,Entire home/apt,4,121,1.25,54,130
Mosman,-33.8192680185047,151.236524898278,Entire home/apt,2,229,2.37,187,140
Waverley,-33.8917630973237,151.242593449331,Entire home/apt,7,0,0,365,1073
Sydney,-33.9019884551957,151.193047122052,Entire home/apt,5,6,0.07,32,379
Waverley,-33.8889036674891,151.277257364213,Entire home/apt,4,23,0.25,124,245
Pittwater,-33.6261214609421,151.331510885839,Entire home/apt,2,53,0.56,341,150
Waverley,-33.8856897369027,151.268864864149,Entire home/apt,5,11,0.12,43,199
Lane Cove,-33.8107888650122,151.160720589406,Private room,1,156,1.62,17,55
Sydney,-33.9039644860692,151.191236780308,Private room,2,97,2.83,50,75
Woollahra,-33.8832714595943,151.22724714449,Private room,3,1,0.02,0,100
Sydney,-33.8724755905017,151.228143157648,Entire home/apt,7,15,0.16,92,75
Marrickville,-33.91499570252,151.140299583828,Private room,3,22,0.23,360,75
The Hills Shire,-33.7044375138865,150.942170906572,Private room,1,1,0.03,365,90
Hornsby,-33.7299044235847,151.051380249632,Private room,2,43,0.47,270,89
Warringah,-33.7124928557264,151.298419714696,Entire home/apt,5,0,0,309,109
Randwick,-33.9091747695307,151.252307309374,Entire home/apt,3,2,0.03,225,251
Waverley,-33.8867195038046,151.266557090003,Private room,3,8,0.09,0,65
Sydney,-33.8658544110805,151.19233295257,Private room,2,367,3.9,221,89
Randwick,-33.9148163810915,151.260116343116,Entire home/apt,14,13,0.17,28,1690
Randwick,-33.9647208623372,151.247966919531,Entire home/apt,1,210,2.25,17,120
Randwick,-33.9180046436009,151.243716411198,Private room,3,83,0.88,309,84
Sydney,-33.8738032477854,151.223620692636,Entire home/apt,2,269,2.92,226,329
North Sydney,-33.8309618531172,151.215321261537,Private room,2,79,0.84,353,84
Waverley,-33.9064171389056,151.266985942914,Entire home/apt,14,16,0.17,244,295
North Sydney,-33.8299921380683,151.218310926893,Entire home/apt,6,6,0.06,364,400
North Sydney,-33.8318932066327,151.190747434093,Private room,14,6,0.07,365,55
Sutherland Shire,-34.0359944939345,151.104542171654,Private room,1,161,1.73,324,84
Waverley,-33.8951575212665,151.268418514864,Entire home/apt,1,92,1.23,329,203
Ku-Ring-Gai,-33.7014273931596,151.125139417318,Private room,21,18,0.2,354,71
Leichhardt,-33.8599904339514,151.175848056381,Entire home/apt,7,8,0.09,350,400
Waverley,-33.8892281052433,151.283999184596,Entire home/apt,2,63,0.68,13,161
Waverley,-33.8886889792286,151.278907819236,Entire home/apt,6,77,0.84,339,150
Pittwater,-33.6496354893529,151.316924794866,Entire home/apt,14,6,0.23,306,190
Sydney,-33.8852145339498,151.208246020825,Entire home/apt,2,12,0.13,79,251
Waverley,-33.8912354843222,151.285470622558,Entire home/apt,60,5,0.06,90,226
Sydney,-33.9021542206488,151.191190451346,Entire home/apt,6,52,0.61,39,89
Waverley,-33.8894973600629,151.260447934503,Private room,3,32,0.38,343,90
Ku-Ring-Gai,-33.7602623993264,151.150974471618,Private room,3,26,0.3,359,69
Pittwater,-33.6939990903641,151.290360043452,Entire home/apt,3,24,0.61,327,170
Randwick,-33.9513017728753,151.24480264877,Private room,3,0,0,361,43
Warringah,-33.7468278290543,151.249287529556,Entire home/apt,7,9,0.12,364,155
Sydney,-33.8727294065201,151.223783194573,Entire home/apt,2,170,2.22,17,120
