Rank,GCCSA/SUA,State/Territory,June 2017[2],"2011 Census[3]
Population",Growth %,"Percentage of
national population (June 2017)"
1,Sydney,New South Wales,"5,131,326","4,391,674",0.1684,0.2086
2,Melbourne,Victoria,"4,850,740","3,999,982",0.2127,0.1972
3,Brisbane,Queensland,"2,408,223","2,065,996",0.1656,0.0979
4,Perth,Western Australia,"2,043,138","1,728,867",0.1818,0.0831
5,Adelaide,South Australia,"1,333,927","1,262,940",0.0562,0.0542
6,Gold Coast–Tweed Heads,Queensland/New South Wales,"663,321","557,822",0.1891,0.0270
7,Newcastle–Maitland,New South Wales,"481,183","398,770",0.2067,0.0196
8,Canberra–Queanbeyan,Australian Capital Territory/New South Wales,"447,457","391,645",0.1425,0.0182
9,Sunshine Coast,Queensland,"325,399","270,770",0.2018,0.0132
10,Wollongong,New South Wales,"299,203","268,944",0.1125,0.0122
11,Geelong,Victoria,"260,138","173,454",0.4998,0.0106
12,Hobart,Tasmania,"226,884","211,656",0.0719,0.0092
13,Townsville,Queensland,"180,346","162,292",0.1112,0.0073
14,Cairns,Queensland,"151,925","133,911",0.1345,0.0062
15,Darwin,Northern Territory,"146,612","120,586",0.2158,0.0060
16,Toowoomba,Queensland,"135,631","105,984",0.2797,0.0055
17,Ballarat,Victoria,"103,481","91,801",0.1272,0.0042
18,Bendigo,Victoria,"97,096","86,079",0.1280,0.0039
19,Albury–Wodonga,New South Wales/Victoria,"91,923","82,083",0.1199,0.0037
20,Launceston,Tasmania,"86,788","82,220",0.0556,0.0035
21,Mackay,Queensland,"80,427","77,293",0.0405,0.0033
22,Rockhampton,Queensland,"78,871","73,681",0.0704,0.0032
23,Bunbury,Western Australia,"74,478","65,608",0.1352,0.0030
24,Coffs Harbour,New South Wales,"70,857","64,243",0.1030,0.0029
25,Bundaberg,Queensland,"70,578","67,341",0.0481,0.0029
26,Wagga Wagga,New South Wales,"56,181","52,042",0.0800,0.0023
27,Hervey Bay,Queensland,"53,492","48,680",0.0988,0.0022
28,Mildura–Wentworth,Victoria/New South Wales,"51,473","47,536",0.0828,0.0021
29,Shepparton–Mooroopna,Victoria,"51,142","46,505",0.0997,0.0021
30,Port Macquarie,New South Wales,"46,948","41,723",0.1252,0.0019
31,Gladstone–Tannum Sands,Queensland,"44,984","41,966",0.0719,0.0018
32,Tamworth,New South Wales,"42,347","38,735",0.0932,0.0017
33,Traralgon–Morwell,Victoria,"41,626","39,705",0.0484,0.0017
34,Orange,New South Wales,"40,079","36,468",0.0990,0.0016
35,Bowral–Mittagong,New South Wales,"39,300","34,858",0.1274,0.0016
36,Busselton,Western Australia,"38,289","30,286",0.2642,0.0015
37,Geraldton,Western Australia,"37,931","35,749",0.0610,0.0015
38,Dubbo,New South Wales,"37,666","33,997",0.1079,0.0015
39,Nowra–Bomaderry,New South Wales,"37,027","33,338",0.1107,0.0015
40,Warragul–Drouin,Victoria,"36,538","29,944",0.2202,0.0015
41,Bathurst,New South Wales,"36,448","32,479",0.1222,0.0015
42,Warrnambool,Victoria,"34,912","32,380",0.0782,0.0014
43,Albany,Western Australia,"34,151","30,656",0.1140,0.0014
44,Kalgoorlie–Boulder,Western Australia,"30,541","30,842",-0.0099,0.0012
45,Devonport,Tasmania,"30,153","29,051",0.0379,0.0012
46,Mount Gambier,South Australia,"29,472","27,756",0.0618,0.0012
47,Lismore,New South Wales,"28,764","28,285",0.0169,0.0012
48,Nelson Bay,New South Wales,"27,606","25,074",0.1010,0.0012
49,Maryborough,Queensland,"27,347","26,214",0.0432,0.0011
