,CED,Family1Child,Family2Children,Family3Children,Family4Children,Family5Children,Family6PlusChildren,FamilyChildrenNA,HHInc_Negative,HHInc_Nil,HHInc_1_149,HHInc_150_299,HHInc_300_399,HHInc_400_499,HHInc_500_649,HHInc_650_799,HHInc_800_999,HHInc_1000_1249,HHInc_1250_1499,HHInc_1500_1749,HHInc_1750_1999,HHInc_2000_2499,HHInc_2500_2999,HHInc_3000_3499,HHInc_3500_3999,HHInc_4000_4499,HHInc_4500_4999,HHInc_5000_5999,HHInc_6000_7999,HHInc_8000_Plus,HHInc_Partial,HHInc_All_incomes_not_stated,HHInc_NA,HHTotal,Rent_Nil,Rent_1_74,Rent_75_99,Rent_100_124,Rent_125_149,Rent_150_174,Rent_175_199,Rent_200_224,Rent_225_249,Rent_250_274,Rent_275_299,Rent_300_324,Rent_325_349,Rent_350_374,Rent_375_399,Rent_400_424,Rent_425_449,Rent_450_549,Rent_550_649,Rent_650_749,Rent_750_849,Rent_850_949,Rent_950_Plus,Rent_Not_stated,Rent_Not_applicable,Age_0_4,Age_5_9,Age_10_14,Age_15_19,Age_20_24,Age_25_29,Age_30_34,Age_35_39,Age_40_44,Age_45_49,Age_50_54,Age_55_59,Age_60_64,Age_65_69,Age_70_74,Age_75_79,Age_80_84,Age_85_89,Age_90_94,Age_95_99,Age_100_Plus,NeverMarried,Widowed,Divorced,Separated,Married,MaritalStatusNA,Male,Female,Population,Ed_Postgraduate_Degree,Ed_Graduate_Diploma_and_Graduate_Certificate,Ed_Bachelor_Degree,Ed_Advanced_Diploma_and_Diploma,Ed_Certificate_III_IV,Ed_Secondary_Education_Years_10_and_above,Ed_Certificate_I_II,Ed_Secondary_Education_Years_9_and_below,Ed_Supplementary_Codes,Ed_Not_stated,Ed_Not_applicable,LabourForceStatus_Employed_worked_FT,LabourForceStatus_Employed_worked_PT,LabourForceStatus_Employed_away_from_work,LabourForceStatus_Unemployed_looking_for_FT,LabourForceStatus_Unemployed_looking_for_PT,LabourForceStatus_Not_in_the_labour_force,LabourForceStatus_Not_stated,LabourForceStatus_Not_applicable,State,Enrolment,Turnout,WinningParty,ALP,LP,LNP,NP,GRN,IND,AAPP,ADVP,AEQ,AFN,AJP,ALA,ARF,ARTS,ASP,ASXP,AUC,AUP,BTA,CDP,CEC,CLP,CM,CRNT,CYA,CYC,DHJP,DLP,DRF,FFP,FUT,GLT,HMP,KAP,LDP,MAP,NCP,None,ODR,ON,PIR,PUP,REP,RUA,SAL,SEP,SMK,SOL,SPP,VEP,XEN
0,Banks,11868,11201,3593,843,180,73,33478,127,831,371,1118,1604,3116,1983,3291,2964,3848,3509,3039,2959,5994,3850,2691,2148,1215,1166,1115,795,140,3937,1243,5249,58297,402,206,195,1216,316,539,298,510,216,325,197,502,289,778,789,1582,845,3866,1813,771,243,60,79,613,41643,9444,9250,8722,9422,10688,11552,11461,10286,10387,10195,10602,10141,8551,7236,5457,4481,3668,2636,1311,285,29,40570,7554,9819,3532,66916,27413,75780,80024,155804,8333,1948,22905,12431,15745,41069,64,10355,5982,9559,27413,46081,23083,3557,2418,2403,45079,5770,27413,NSW,104891,89832,LP,43622,46210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Barton,13019,10308,3238,871,177,69,41666,168,1347,536,1151,1437,3016,1939,3596,3406,4297,4108,3577,3423,6820,4293,3038,2416,1220,1155,1023,727,91,4542,1123,7427,65885,577,98,88,519,151,311,195,406,247,382,233,652,371,972,819,1912,1090,5860,4075,1344,438,192,220,685,44066,10307,9145,8112,9044,13661,18194,16774,12999,11684,10762,10294,9141,8050,6931,5375,4636,3752,2499,1187,288,17,52564,7055,10055,3945,71664,27569,85725,87127,172852,11693,2173,28881,13387,13648,43551,48,11617,6954,13331,27569,52298,26219,4158,2957,2884,47775,8992,27569,NSW,106511,87702,ALP,51131,36571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Bennelong,12778,11897,3284,571,81,19,38867,163,1461,509,1055,1250,2644,1862,2870,2978,4012,3778,3446,3275,6680,4401,3189,3158,1745,1751,1751,1478,238,4341,1072,6232,65322,518,162,139,685,221,401,251,388,279,406,198,489,394,941,841,1628,1094,5124,3422,1747,691,333,338,693,43923,10216,9709,8479,9619,13513,14286,14383,12875,11552,10754,10823,9819,8701,7145,5074,4301,3473,2654,1253,296,23,48572,6615,8445,2795,74122,28399,82362,86586,168948,17086,3045,35865,13314,11803,37438,58,7136,5692,9112,28399,53801,24530,3651,2673,2920,47155,5819,28399,NSW,105962,92231,LP,37154,55077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Berowra,9604,12304,4227,946,156,68,24731,63,418,272,503,630,1630,1245,1952,1990,2636,2522,2123,2268,4786,3699,3015,3018,2075,2167,2158,1806,317,4202,739,3993,50228,311,47,38,172,74,88,84,140,82,118,105,213,85,177,123,277,146,1070,1288,895,470,233,209,293,43493,7745,10055,10200,10565,8899,6182,6545,8512,10666,11103,11018,10278,8708,7806,5974,4294,2938,2148,1159,317,20,32587,5727,6671,2142,70005,28000,71298,73834,145132,10987,3206,27253,12612,13457,31446,51,5775,4852,7493,28000,45211,24034,3046,1587,1733,36866,4655,28000,NSW,105245,94017,LP,31547,62470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Blaxland,11650,10429,5160,2172,693,341,30545,209,1017,435,1496,1845,3457,2513,3966,3757,4403,3824,3035,2658,4633,2870,1738,1243,675,502,514,296,57,4179,1330,6292,56938,507,284,262,1335,326,784,416,665,313,523,289,843,561,1476,1087,2441,938,4116,1315,398,108,31,54,833,37033,13426,12317,11142,11310,14141,16142,14346,11788,10659,10339,10252,9710,7965,6575,4774,3672,2805,2015,997,240,18,44361,6899,10720,4921,70847,36885,89076,85557,174633,5455,1062,17320,11047,13942,50994,141,15070,9097,13620,36885,39035,21541,3884,4045,3302,57161,8780,36885,NSW,103506,79885,ALP,55507,24378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Bradfield,11393,12865,4254,761,99,32,31363,111,974,393,646,676,1621,1452,1864,2105,2915,2817,2480,2511,5318,3477,2719,4046,2495,2726,2998,3422,531,4826,977,5472,59573,470,45,62,148,76,133,69,130,83,84,60,181,87,203,159,553,439,3097,2104,1345,890,652,1655,449,46404,9025,11436,11416,11444,9071,7643,9293,10709,11663,12293,11360,9549,8055,7392,6025,4867,3895,3040,1619,430,26,35456,6812,7031,2176,76896,31880,76947,83304,160251,17943,3765,38825,12226,6802,31004,15,5014,4733,8044,31880,47882,24328,3012,1904,2051,43998,5196,31880,NSW,105662,93634,LP,27121,66513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Calare,9657,8526,3908,1134,262,127,42982,170,567,521,1541,2181,5123,2985,4954,4086,4851,4282,3193,3149,5439,3251,2116,1556,736,717,506,403,51,4257,2025,12642,71305,775,302,208,906,481,1093,944,1659,962,1876,1216,1768,767,1150,540,631,212,333,63,19,15,8,33,631,54715,10497,11110,10420,10359,9331,9448,9401,8977,9987,10561,10704,10829,9775,9633,7542,5302,3799,2351,991,245,36,43624,8213,11902,4741,60786,32032,80636,80662,161298,2915,1963,12813,9831,25460,39252,200,13945,4329,18558,32032,41885,21869,3988,2839,1733,46421,10531,32032,NSW,112957,100278,NP,38300,0,0,61978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Chifley,12872,11751,5189,1974,600,370,27875,142,539,291,1070,1442,2769,1924,3569,3317,4093,4001,3318,3228,6167,3745,2299,1399,792,569,546,287,47,3870,1339,5371,56141,264,246,220,1196,455,801,523,694,387,648,595,1721,1161,1980,1381,2219,938,2122,413,117,32,14,22,698,37302,13604,13525,12094,12551,12581,12499,13581,12280,11239,10790,10330,9522,7993,6851,4602,3137,2091,1214,643,119,5,47798,6517,8943,4970,63794,39229,84508,86743,171251,5124,1047,17292,10415,17886,48314,172,13730,5487,12555,39229,47518,19386,3939,3860,2815,46894,7610,39229,NSW,103864,85569,ALP,59202,26367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Cook,9562,9604,3577,741,87,30,33102,88,601,328,779,1143,2692,1782,2759,2781,3534,3129,2741,2681,5487,3785,2809,2661,1479,1503,1519,1301,221,4000,1210,6444,57459,359,82,76,471,103,202,108,208,121,272,166,381,302,636,548,1219,708,3016,1708,1028,459,227,327,412,44320,8253,8467,8165,7904,7668,8368,8802,8958,9917,9929,9380,9068,7934,7289,5924,4641,3804,2982,1286,303,18,35409,7094,9801,3169,58698,24889,67496,71564,139060,5390,2010,19228,12946,18318,33774,65,7490,5222,9728,24889,44273,21396,3464,1432,1319,36509,5778,24889,NSW,104340,91385,LP,31625,59760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Cowper,10031,7836,3161,970,234,105,49228,160,565,465,1608,2676,6372,3986,6983,5555,5981,4951,3241,3013,4748,2577,1366,1078,449,410,326,270,27,4102,2367,11538,74831,561,207,143,1127,417,909,728,1365,950,1700,1325,1773,968,1640,1095,1047,480,1248,298,71,45,17,49,612,56056,8178,9726,9486,9129,7222,7382,7494,7583,9109,9764,10845,12103,11824,11953,9566,7260,5108,3504,1675,375,36,39660,10335,15803,5497,60627,27400,77043,82279,159322,2628,1934,12997,11273,25861,39970,268,14583,4883,17525,27400,32292,23819,3532,2884,1963,57334,10098,27400,NSW,118260,103460,NP,0,0,0,56443,0,47017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
