"Party","PartyName"
"ALP","Australian Labor Party"
"GRN","The Greens"
"BTA","Bullet Train For Australia"
"LP","Liberal"
"IND","Independent"
"FFP","Family First"
"CDP","Christian Democratic Party (Fred Nile Group)"
"AJP","Animal Justice Party"
"SOL","Online Direct Democracy - (Empowering the People!)"
"PIR","Pirate Party Australia"
"ARTS","The Arts Party"
"FUT","Science Party"
"SEP","Socialist Equality Party"
"ALA","Australian Liberty Alliance"
"NP","The Nationals"
"LDP","Liberal Democrats"
"XEN","Nick Xenophon Team"
"CEC","Citizens Electoral Council"
"NCP","Non-Custodial Parents Party (Equal Parenting)"
"ON","Pauline Hanson's One Nation"
"ADVP","Veterans Party"
"MAP","Mature Australia"
"SMK","Smokers Rights"
"DRF","Drug Law Reform"
"ASXP","Australian Sex Party"
"CYC","Australian Cyclists Party"
"REP","Renewable Energy Party"
"None","None"
"DHJP","Derryn Hinch's Justice Party"
"AFN","Australia First Party"
"ASP","Shooters, Fishers and Farmers"
"CM","CountryMinded"
"DLP","Democratic Labour Party (DLP)"
"RUA","Rise Up Australia Party"
"AAPP","Antipaedophile Party"
"SPP","Sustainable Australia"
"SAL","Socialist Alliance"
"CLP","Country Liberals (NT)"
"HMP","Marijuana (HEMP) Party"
"LNP","Liberal National Party of Queensland"
"KAP","Katter's Australian Party"
"GLT","Glenn Lazarus Team"
"PUP","Palmer United Party"
"CRNT","Consumer Rights & No-Tolls"
"ARF","Australian Recreational Fishers Party"
"AUC","Australian Christians"
"AUP","Australian Progressives"
"AEQ","Marriage Equality"
"CYA","Australian Country Party"
"VEP","Voluntary Euthanasia Party"
"ODR","Outdoor Recreation Party (Stop The Greens)"
